Date,SMA_Diff,SP_Diff,Mov
22/5/2013,3.38689997,-4.83996582,U
23/5/2013,3.57919997,-0.91003418,U
24/5/2013,3.79707999,10.46008301,U
28/5/2013,4.05082,-11.70007324,D
29/5/2013,4.2793,6.050048828,U
30/5/2013,4.51651999,-23.67004395,D
31/5/2013,4.70578001,9.680053711,D
3/6/2013,4.85986001,-9.040039063,U
4/6/2013,4.98038004,-22.47998047,U
5/6/2013,5.14762001,13.66003418,U
6/6/2013,5.32525999,20.81994629,U
7/6/2013,5.39614002,-0.569946289,D
10/6/2013,5.38040001,-16.68005371,D
11/6/2013,5.24494002,-13.60998535,U
12/6/2013,5.17627997,23.83996582,U
13/6/2013,5.08135994,-9.630004883,U
14/6/2013,4.9286999,12.31005859,U
17/6/2013,4.79237995,12.77001953,U
18/6/2013,4.68063989,-22.88000488,U
19/6/2013,4.59481995,-40.7401123,D
20/6/2013,4.49375992,4.240112305,D
21/6/2013,4.33811995,-19.34008789,U
24/6/2013,4.15125994,14.94006348,U
25/6/2013,3.83555992,15.22998047,U
26/6/2013,3.60593987,9.939941406,U
27/6/2013,3.39373989,-6.919921875,D
28/6/2013,3.24817989,8.679931641,U
1/7/2013,3.21667993,-0.880004883,U
2/7/2013,3.17595989,1.330078125,D
3/7/2013,3.11773993,16.47998047,U
5/7/2013,3.06649995,8.569946289,U
8/7/2013,2.98375992,11.85998535,U
9/7/2013,2.92875992,0.300048828,D
10/7/2013,2.93743998,22.40002441,U
11/7/2013,2.92976,5.169921875,U
12/7/2013,2.94048,2.310058594,D
15/7/2013,2.91748001,-6.239990234,D
16/7/2013,2.76797997,4.650024414,U
17/7/2013,2.69357996,8.459960938,D
18/7/2013,2.58299992,2.719970703,U
19/7/2013,2.51773998,3.440063477,U
22/7/2013,2.53441999,-3.140014648,U
23/7/2013,2.56299999,-6.450073242,D
24/7/2013,2.62040001,4.310058594,U
25/7/2013,2.64058005,1.400024414,U
26/7/2013,2.66378004,-6.320068359,U
29/7/2013,2.76690004,0.630004883,D
30/7/2013,2.75153997,-0.229980469,U
31/7/2013,2.73878006,21.14001465,U
1/8/2013,2.75004005,2.800048828,U
2/8/2013,2.72610008,-2.530029297,U
5/8/2013,2.74900007,-9.770019531,D
6/8/2013,2.75572006,-6.459960938,D
7/8/2013,2.77972006,6.569946289,U
8/8/2013,2.86302005,-6.059936523,D
